Position Holder,Name of Share Issuer,ISIN,Net Short Position (%),Position Date
ADAGE CAPITAL MANAGEMENT L.P.,OUTOKUMPU OYJ,FI0009002422,0.69,07/12/2017
CITADEL ADVISORS LLC,OUTOKUMPU OYJ,FI0009002422,1.24,07/12/2017
CITADEL ADVISORS LLC,OUTOKUMPU OYJ,FI0009002422,1.15,07/11/2017
CITADEL EUROPE LLP,METSO OYJ,FI0009007835,0.96,07/11/2017
"AQR CAPITAL MANAGEMENT, LLC",AMER SPORTS OYJ,FI0009000285,0.8,07/11/2017
"AQR CAPITAL MANAGEMENT, LLC",OUTOKUMPU OYJ,FI0009002422,0.5,07/11/2017
ADAGE CAPITAL MANAGEMENT L.P.,OUTOKUMPU OYJ,FI0009002422,0.57,07/11/2017
CITADEL ADVISORS LLC,OUTOKUMPU OYJ,FI0009002422,1.06,07/10/2017
MARSHALL WACE LLP,OUTOTEC OYJ,FI0009014575,2.2,07/10/2017
"WORLDQUANT, LLC",TOKMANNI GROUP OYJ,FI4000197934,0.47,07/07/2017
MARSHALL WACE LLP,AMER SPORTS OYJ,FI0009000285,0.5,07/07/2017
MARSHALL WACE LLP,YIT OYJ,FI0009800643,1.38,07/07/2017
MARSHALL WACE ASIA LIMITED,YIT OYJ,FI0009800643,0.78,07/07/2017
UBS ASSET MANAGEMENT (UK) LTD,OUTOTEC OYJ,FI0009014575,3.99,07/06/2017
MARSHALL WACE LLP,OUTOTEC OYJ,FI0009014575,2.13,07/06/2017
CITADEL ADVISORS LLC,METSO OYJ,FI0009007835,0.59,07/05/2017
CITADEL EUROPE LLP,METSO OYJ,FI0009007835,1.08,07/05/2017
UBS ASSET MANAGEMENT (UK) LTD,OUTOTEC OYJ,FI0009014575,4.02,07/05/2017
UBS ASSET MANAGEMENT (UK) LTD,OUTOTEC OYJ,FI0009014575,4.14,07/04/2017
"WORLDQUANT, LLC",TOKMANNI GROUP CORP,FI4000197934,0.5,07/04/2017
SCOPIA CAPITAL MANAGEMENT LP,KONE OYJ,FI0009013403,0.69,07/03/2017
MARSHALL WACE LLP,OUTOTEC OYJ,FI0009014575,2.0,07/03/2017
UBS ASSET MANAGEMENT (UK) LTD,OUTOTEC OYJ,FI0009014575,4.32,07/03/2017
SCOPIA CAPITAL MANAGEMENT LP,NESTE OYJ,FI0009013296,0.59,07/03/2017
UBS ASSET MANAGEMENT (UK) LTD,METSO OYJ,FI0009007835,1.39,07/03/2017
BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED,METSÄ BOARD OYJ,FI0009000665,0.59,07/03/2017
MARSHALL WACE ASIA LIMITED,YIT OYJ,FI0009800643,0.82,07/03/2017
UBS ASSET MANAGEMENT (UK) LTD,OUTOTEC OYJ,FI0009014575,4.43,06/30/2017
JPMORGAN ASSET MANAGEMENT (UK) LTD,KAMUX OYJ,FI4000206750,0.56,06/30/2017
"WORLDQUANT, LLC",OUTOTEC OYJ,FI0009014575,0.53,06/30/2017
CITADEL ADVISORS LLC,ELISA OYJ,FI0009007884,1.59,06/30/2017
LINDEN ADVISORS LP,OUTOKUMPU OYJ,FI0009002422,1.41,06/29/2017
CITADEL ADVISORS LLC,OUTOKUMPU OYJ,FI0009002422,0.9,06/29/2017
ADAGE CAPITAL MANAGEMENT L.P.,OUTOKUMPU OYJ,FI0009002422,0.49,06/29/2017
CITADEL ADVISORS LLC,ELISA OYJ,FI0009007884,1.68,06/29/2017
CITADEL ADVISORS LLC,METSO OYJ,FI0009007835,0.66,06/29/2017
UBS ASSET MANAGEMENT (UK) LTD,OUTOTEC OYJ,FI0009014575,4.82,06/29/2017
CITADEL EUROPE LLP,METSO OYJ,FI0009007835,1.19,06/29/2017
UBS ASSET MANAGEMENT (UK) LTD,OUTOKUMPU OYJ,FI0009002422,0.49,06/29/2017
CITADEL ADVISORS LLC,OUTOKUMPU OYJ,FI0009002422,0.81,06/28/2017
UBS ASSET MANAGEMENT (UK) LTD,OUTOTEC OYJ,FI0009014575,5.16,06/28/2017
CITADEL EUROPE LLP,METSO OYJ,FI0009007835,1.23,06/28/2017
CITADEL ADVISORS II LLC,AMER SPORTS OYJ,FI0009000285,0.7,06/28/2017
MARSHALL WACE LLP,YIT OYJ,FI0009800643,1.49,06/27/2017
"WORLDQUANT, LLC",OUTOKUMPU OYJ,FI0009002422,0.49,06/27/2017
MARSHALL WACE LLP,FORTUM OYJ,FI0009007132,0.51,06/27/2017
MARSHALL WACE LLP,KESKO OYJ,FI0009000202,0.61,06/27/2017
CITADEL ADVISORS LLC,OUTOKUMPU OYJ,FI0009002422,0.63,06/27/2017
"AQR CAPITAL MANAGEMENT, LLC",AMER SPORTS OYJ,FI0009000285,0.7,06/26/2017
CITADEL ADVISORS II LLC,AMER SPORTS OYJ,FI0009000285,0.61,06/26/2017
CITADEL EUROPE LLP,METSO OYJ,FI0009007835,1.47,06/26/2017
CITADEL ADVISORS LLC,OUTOKUMPU OYJ,FI0009002422,0.5,06/26/2017
MILLENNIUM INTERNATIONAL MANAGEMENT LP,OUTOKUMPU OYJ,FI0009002422,0.44,06/22/2017
CITADEL ADVISORS LLC,OUTOKUMPU OYJ,FI0009002422,0.46,06/22/2017
"WORLDQUANT, LLC",OUTOKUMPU OYJ,FI0009002422,0.52,06/22/2017
MARSHALL WACE LLP,OUTOTEC OYJ,FI0009014575,1.98,06/21/2017
MILLENNIUM INTERNATIONAL MANAGEMENT LP,OUTOKUMPU OYJ,FI0009002422,0.55,06/21/2017
CITADEL ADVISORS LLC,METSO OYJ,FI0009007835,0.78,06/21/2017
UBS ASSET MANAGEMENT (UK) LTD,OUTOTEC OYJ,FI0009014575,5.28,06/21/2017
ADAGE CAPITAL MANAGEMENT L.P.,OUTOKUMPU OYJ,FI0009002422,0.54,06/21/2017
MARSHALL WACE LLP,OUTOTEC OYJ,FI0009014575,2.0,06/20/2017
JPMORGAN ASSET MANAGEMENT (UK) LTD,YIT OYJ,FI0009800643,0.42,06/20/2017
CITADEL EUROPE LLP,METSO OYJ,FI0009007835,1.56,06/20/2017
MARSHALL WACE LLP,YIT OYJ,FI0009800643,1.5,06/20/2017
MILLENNIUM INTERNATIONAL MANAGEMENT LP,OUTOKUMPU OYJ,FI0009002422,0.6,06/20/2017
"WORLDQUANT, LLC",OUTOTEC OYJ,FI0009014575,0.47,06/20/2017
"AQR CAPITAL MANAGEMENT, LLC",AMER SPORTS OYJ,FI0009000285,0.62,06/19/2017
MARSHALL WACE LLP,YIT OYJ,FI0009800643,1.44,06/19/2017
JPMORGAN ASSET MANAGEMENT (UK) LTD,YIT OYJ,FI0009800643,0.62,06/19/2017
CITADEL ADVISORS LLC,METSO OYJ,FI0009007835,0.89,06/16/2017
ADAGE CAPITAL MANAGEMENT L.P.,OUTOKUMPU OYJ,FI0009002422,0.78,06/16/2017
CITADEL ADVISORS II LLC,AMER SPORTS CORPORATION,FI0009000285,0.57,06/16/2017
CITADEL EUROPE LLP,METSO OYJ,FI0009007835,1.69,06/16/2017
MILLENNIUM INTERNATIONAL MANAGEMENT LP,OUTOKUMPU OYJ,FI0009002422,0.55,06/16/2017
CITADEL EUROPE LLP,METSO OYJ,FI0009007835,1.72,06/15/2017
"WORLDQUANT, LLC",OUTOTEC OYJ,FI0009014575,0.57,06/14/2017
CITADEL EUROPE LLP,WARTSILA OYJ,FI0009003727,0.48,06/14/2017
UBS ASSET MANAGEMENT (UK) LTD,METSO OYJ,FI0009007835,1.46,06/13/2017
CITADEL ADVISORS II LLC,AMER SPORTS CORPORATION,FI0009000285,0.6,06/13/2017
ADAGE CAPITAL MANAGEMENT L.P.,OUTOKUMPU OYJ,FI0009002422,0.84,06/13/2017
CITADEL ADVISORS LLC,METSO OYJ,FI0009007835,0.98,06/13/2017
MARSHALL WACE LLP,OUTOTEC OYJ,FI0009014575,1.99,06/13/2017
UBS ASSET MANAGEMENT (UK) LTD,OUTOTEC OYJ,FI0009014575,5.35,06/12/2017
CITADEL EUROPE LLP,METSO OYJ,FI0009007835,1.93,06/12/2017
CITADEL ADVISORS II LLC,AMER SPORTS CORPORATION,FI0009000285,0.59,06/12/2017
CITADEL ADVISORS LLC,OUTOKUMPU,FI0009002422,0.59,06/09/2017
CITADEL ADVISORS LLC,METSO OYJ,FI0009007835,1.05,06/08/2017
CITADEL EUROPE LLP,WÄRTSILÄ OYJ,FI0009003727,0.59,06/08/2017
CITADEL ADVISORS LLC,OUTOKUMPU OYJ,FI0009002422,0.67,06/08/2017
"LUMINUS MANAGEMENT, LLC",OUTOKUMPU OYJ,FI0009002422,0.52,06/08/2017
CITADEL ADVISORS II LLC,AMER SPORTS OYJ,FI0009000285,0.6,06/08/2017
ADAGE CAPITAL MANAGEMENT L.P.,OUTOKUMPU OYJ,FI0009002422,0.72,06/07/2017
BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED,METSÄ BOARD OYJ,FI0009000665,0.6,06/07/2017
"AQR CAPITAL MANAGEMENT, LLC",AMER SPORTS OYJ,FI0009000285,0.5,06/06/2017
CITADEL EUROPE LLP,METSO OYJ,FI0009007835,2.09,06/06/2017
JPMORGAN ASSET MANAGEMENT (UK) LTD,AMER SPORTS OYJ,FI0009000285,0.94,06/06/2017
RAM ACTIVE INVESTMENTS SA,YIT OYJ,FI0009800643,0.36,06/06/2017
GMT CAPITAL CORP,NESTE OYJ,FI0009013296,1.0,06/03/2017
MARSHALL WACE LLP,OUTOTEC OYJ,FI0009014575,2.21,06/02/2017
CITADEL ADVISORS II LLC,AMER SPORTS OYJ,FI0009000285,0.53,06/02/2017
CITADEL EUROPE LLP,METSO OYJ,FI0009007835,2.19,06/02/2017
LINDEN ADVISORS LP,OUTOKUMPU OYJ,FI0009002422,1.38,06/01/2017
JPMORGAN ASSET MANAGEMENT (UK) LTD,KAMUX OYJ,FI4000206750,0.6,06/01/2017
CITADEL EUROPE LLP,WÄRTSILÄ OYJ,FI0009003727,0.6,06/01/2017
BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED,UPONOR OYJ,FI0009002158,0.6,06/01/2017
CITADEL EUROPE LLP,METSO OYJ,FI0009007835,2.27,05/31/2017
"AQR CAPITAL MANAGEMENT, LLC",NOKIA OYJ,FI0009000681,0.9,05/31/2017
LINDEN ADVISORS LP,OUTOKUMPU OYJ,FI0009002422,1.46,05/31/2017
CITADEL ADVISORS LLC,METSO OYJ,FI0009007835,1.18,05/31/2017
UBS ASSET MANAGEMENT (UK) LTD,OUTOTEC OYJ,FI0009014575,5.46,05/31/2017
CITADEL EUROPE LLP,METSO OYJ,FI0009007835,2.36,05/30/2017
UBS ASSET MANAGEMENT (UK) LTD,METSO OYJ,FI0009007835,1.56,05/26/2017
MARCATO CAPITAL MANAGEMENT LP,KONECRANES OYJ,FI0009005870,0.35,05/24/2017
MARSHALL WACE LLP,OUTOTEC OYJ,FI0009014575,2.11,05/24/2017
"AQR CAPITAL MANAGEMENT, LLC",NOKIA OYJ,FI0009000681,0.89,05/24/2017
HIGHBRIDGE CAPITAL MANAGEMENT LLC,NOKIAN RENKAAT OYJ,FI0009005318,0.3,05/24/2017
CITADEL ADVISORS LLC,ELISA OYJ,FI0009007884,1.78,05/23/2017
UBS ASSET MANAGEMENT (UK) LTD,OUTOTEC OYJ,FI0009014575,5.58,05/22/2017
"AQR CAPITAL MANAGEMENT, LLC",NOKIAN RENKAAT OYJ,FI0009005318,0.49,05/22/2017
JPMORGAN ASSET MANAGEMENT (UK) LTD,OUTOTEC OYJ,FI0009014575,1.28,05/22/2017
CITADEL ADVISORS LLC,ELISA OYJ,FI0009007884,1.85,05/22/2017
CITADEL ADVISORS LLC,OUTOKUMPU OYJ,FI0009002422,0.71,05/19/2017
"WORLDQUANT, LLC",OUTOTEC OYJ,FI0009014575,0.62,05/18/2017
"BLACKROCK INSTITUTIONAL TRUST COMPANY, NATIONAL ASSOCIATION",METSÄ BOARD OYJ,FI0009000665,0.45,05/18/2017
CITADEL ADVISORS LLC,METSO OYJ,FI0009007835,1.21,05/18/2017
CITADEL ADVISORS LLC,OUTOKUMPU OYJ,FI0009002422,0.69,05/18/2017
BNP PARIBAS SA,OUTOKUMPU OYJ,FI0009002422,0.33,05/18/2017
BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED,UPONOR OYJ,FI0009002158,0.52,05/17/2017
BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED,METSÄ BOARD OYJ,FI0009000665,0.5,05/17/2017
CITADEL ADVISORS LLC,OUTOKUMPU OYJ,FI0009002422,0.54,05/17/2017
RAM ACTIVE INVESTMENTS SA,YIT OYJ,FI0009800643,0.57,05/17/2017
CITADEL ADVISORS LLC,ELISA OYJ,FI0009007884,2.0,05/17/2017
CITADEL ADVISORS LLC,ELISA OYJ,FI0009007884,1.99,05/16/2017
LINDEN ADVISORS LP,OUTOKUMPU OYJ,FI0009002422,1.58,05/15/2017
OXFORD ASSET MANAGEMENT,YIT OYJ,FI0009800643,0.61,05/15/2017
CITADEL ADVISORS LLC,METSO OYJ,FI0009007835,1.19,05/15/2017
CITADEL EUROPE LLP,METSO OYJ,FI0009007835,2.46,05/12/2017
UBS ASSET MANAGEMENT (UK) LTD,METSO OYJ,FI0009007835,1.68,05/12/2017
MARSHALL WACE LLP,OUTOTEC OYJ,FI0009014575,2.01,05/12/2017
CITADEL ADVISORS LLC,METSO OYJ,FI0009007835,1.22,05/11/2017
CITADEL EUROPE LLP,WÄRTSILÄ OYJ ABP,FI0009003727,0.59,05/11/2017
BNP PARIBAS SA,OUTOKUMPU OYJ,FI0009002422,0.52,05/10/2017
MARSHALL WACE LLP,YIT OYJ,FI0009800643,1.39,05/10/2017
"WORLDQUANT, LLC",OUTOTEC OYJ,FI0009014575,0.52,05/10/2017
MARSHALL WACE LLP,OUTOTEC OYJ,FI0009014575,1.9,05/09/2017
CITADEL ADVISORS LLC,METSO OYJ,FI0009007835,1.18,05/08/2017
MARSHALL WACE LLP,OUTOTEC OYJ,FI0009014575,1.86,05/08/2017
"AQR CAPITAL MANAGEMENT, LLC",NOKIA OYJ,FI0009000681,0.99,05/08/2017
CITADEL EUROPE LLP,METSO OYJ,FI0009007835,2.54,05/05/2017
BNP PARIBAS SA,OUTOKUMPU OYJ,FI0009002422,0.47,05/05/2017
MARSHALL WACE LLP,OUTOTEC OYJ,FI0009014575,1.76,05/05/2017
ADAGE CAPITAL MANAGEMENT L.P.,NOKIAN RENKAAT OYJ,FI0009005318,0.75,05/05/2017
JPMORGAN ASSET MANAGEMENT (UK) LTD,AMER SPORTS OYJ,FI0009000285,0.86,05/05/2017
HIGHBRIDGE CAPITAL MANAGEMENT LLC,NOKIAN RENKAAT OYJ,FI0009005318,0.72,05/05/2017
MARSHALL WACE LLP,OUTOTEC OYJ,FI0009014575,1.66,05/04/2017
ENNISMORE FUND MANAGEMENT LIMITED,CAVERION OYJ,FI4000062781,0.0,05/04/2017
LINDEN ADVISORS LP,OUTOKUMPU OYJ,FI0009002422,1.69,05/03/2017
UBS ASSET MANAGEMENT (UK) LTD,OUTOTEC OYJ,FI0009014575,5.79,05/03/2017
CITADEL EUROPE LLP,METSO OYJ,FI0009007835,2.49,05/03/2017
UBS ASSET MANAGEMENT (UK) LTD,OUTOTEC OYJ,FI0009014575,6.19,05/02/2017
ENNISMORE FUND MANAGEMENT LIMITED,CAVERION OYJ,FI4000062781,0.56,05/02/2017
CITADEL EUROPE LLP,METSO OYJ,FI0009007835,2.5,05/02/2017
OXFORD ASSET MANAGEMENT,YIT OYJ,FI0009800643,0.5,04/28/2017
MARSHALL WACE LLP,YIT OYJ,FI0009800643,1.4,04/28/2017
LINDEN ADVISORS LP,OUTOKUMPU OYJ,FI0009002422,1.79,04/28/2017
UBS ASSET MANAGEMENT (UK) LTD,STOCKMANN OYJ,FI0009000251,1.59,04/28/2017
UBS ASSET MANAGEMENT (UK) LTD,KONECRANES OYJ,FI0009005870,0.59,04/27/2017
CITADEL ADVISORS LLC,METSO OYJ,FI0009007835,1.18,04/27/2017
ADAGE CAPITAL MANAGEMENT L.P.,OUTOKUMPU OYJ,FI0009002422,0.6,04/27/2017
UBS ASSET MANAGEMENT (UK) LTD,OUTOTEC OYJ,FI0009014575,6.45,04/27/2017
SCHRODER INVESTMENT MANAGEMENT LIMITED,METSO OYJ,FI0009007835,0.33,04/27/2017
OXFORD ASSET MANAGEMENT,YIT OYJ,FI0009800643,0.49,04/27/2017
LINDEN ADVISORS LP,OUTOKUMPU OYJ,FI0009002422,1.89,04/27/2017
"BLACKROCK INSTITUTIONAL TRUST COMPANY, NATIONAL ASSOCIATION",METSO OYJ,FI0009007835,0.43,04/27/2017
MACQUARIE FUNDS MANAGEMENT HONG KONG LIMITED,CAVERION OYJ,FI4000062781,0.49,04/26/2017
"AQR CAPITAL MANAGEMENT, LLC",NOKIAN RENKAAT OYJ,FI0009005318,0.59,04/26/2017
MENTA CAPITAL LLC,OUTOTEC OYJ,FI0009014575,0.49,04/26/2017
CITADEL EUROPE LLP,METSO OYJ,FI0009007835,2.46,04/26/2017
MARSHALL WACE LLP,OUTOTEC OYJ,FI0009014575,1.41,04/26/2017
CITADEL ADVISORS LLC,ELISA OYJ,FI0009007884,2.0,04/25/2017
"BLACKROCK INSTITUTIONAL TRUST COMPANY, NATIONAL ASSOCIATION",METSO OYJ,FI0009007835,0.51,04/25/2017
MARSHALL WACE LLP,YIT OYJ,FI0009800643,1.39,04/25/2017
CITADEL ADVISORS LLC,METSO OYJ,FI0009007835,1.03,04/25/2017
LINDEN ADVISORS LP,OUTOKUMPU OYJ,FI0009002422,1.92,04/25/2017
CITADEL EUROPE LLP,METSO OYJ,FI0009007835,2.15,04/25/2017
CITADEL EUROPE LLP,WÄRTSILÄ OYJ,FI0009003727,0.63,04/25/2017
JPMORGAN ASSET MANAGEMENT (UK) LTD,AMER SPORTS OYJ,FI0009000285,0.73,04/25/2017
CITADEL EUROPE LLP,METSO OYJ,FI0009007835,1.94,04/24/2017
UBS ASSET MANAGEMENT (UK) LTD,OUTOKUMPU OYJ,FI0009002422,0.52,04/21/2017
"WORLDQUANT, LLC",OUTOTEC OYJ,FI0009014575,0.49,04/21/2017
MARSHALL WACE LLP,OUTOTEC OYJ,FI0009014575,1.3,04/21/2017
"BLACKROCK INSTITUTIONAL TRUST COMPANY, NATIONAL ASSOCIATION",METSÄ BOARD OYJ,FI0009000665,0.53,04/21/2017
ENNISMORE FUND MANAGEMENT LIMITED,CAVERION OYJ,FI4000062781,0.67,04/20/2017
CITADEL EUROPE LLP,WÄRTSILÄ OYJ,FI0009003727,0.79,04/19/2017
BNP PARIBAS SA,OUTOKUMPU OYJ,FI0009002422,0.66,04/19/2017
BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED,CAVERION OYJ,FI4000062781,0.7,04/19/2017
"WORLDQUANT, LLC",YIT OYJ,FI0009800643,0.47,04/18/2017
CITADEL EUROPE LLP,METSO OYJ,FI0009007835,2.16,04/18/2017
"WORLDQUANT, LLC",OUTOTEC OYJ,FI0009014575,0.51,04/18/2017
"BLACKROCK INSTITUTIONAL TRUST COMPANY, NATIONAL ASSOCIATION",METSO OYJ,FI0009007835,0.49,04/18/2017
MARSHALL WACE LLP,FORTUM OYJ,FI0009007132,0.49,04/18/2017
BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED,TIKKURILA OY,FI4000008719,0.69,04/18/2017
"BLACKROCK INSTITUTIONAL TRUST COMPANY, NATIONAL ASSOCIATION",METSÄ BOARD OYJ,FI0009000665,0.68,04/12/2017
PARVUS ASSET MANAGEMENT EUROPE LIMITED,VALMET OYJ,FI4000074984,1.02,04/12/2017
LINDEN ADVISORS LP,OUTOKUMPU OYJ,FI0009002422,1.89,04/12/2017
"WORLDQUANT, LLC",YIT OYJ,FI0009800643,0.56,04/12/2017
"BLACKROCK INSTITUTIONAL TRUST COMPANY, NATIONAL ASSOCIATION",METSÄ BOARD OYJ,FI0009000665,0.74,04/11/2017
CITADEL EUROPE LLP,WÄRTSILÄ OYJ,FI0009003727,0.89,04/11/2017
"WORLDQUANT, LLC",YIT OYJ,FI0009800643,0.66,04/11/2017
"WORLDQUANT, LLC",OUTOTEC OYJ,FI0009014575,0.46,04/10/2017
CITADEL EUROPE LLP,METSO OYJ,FI0009007835,2.09,04/06/2017
MARSHALL WACE LLP,FORTUM OYJ,FI0009007132,0.51,04/05/2017
"WORLDQUANT, LLC",OUTOTEC OYJ,FI0009014575,0.59,04/05/2017
ENNISMORE FUND MANAGEMENT LIMITED,CAVERION OYJ,FI4000062781,0.78,04/05/2017
"BLACKROCK INSTITUTIONAL TRUST COMPANY, NATIONAL ASSOCIATION",METSÄ BOARD OYJ,FI0009000665,0.89,04/05/2017
MACQUARIE FUNDS MANAGEMENT HONG KONG LIMITED,CAVERION OYJ,FI4000062781,0.59,04/05/2017
CITADEL ADVISORS II LLC,OUTOTEC OYJ,FI0009014575,0.39,04/04/2017
RAM ACTIVE INVESTMENTS SA,YIT OYJ,FI0009800643,0.7,04/03/2017
"AQR CAPITAL MANAGEMENT, LLC",NOKIAN RENKAAT OYJ,FI0009005318,0.69,04/03/2017
MARSHALL WACE LLP,NOKIA OYJ,FI0009000681,0.5,04/03/2017
ENNISMORE FUND MANAGEMENT LIMITED,CAVERION OYJ,FI4000062781,0.87,03/31/2017
MARSHALL WACE LLP,NOKIA OYJ,FI0009000681,0.49,03/31/2017
"WORLDQUANT, LLC",YIT OYJ,FI0009800643,0.79,03/31/2017
"BLACKROCK INSTITUTIONAL TRUST COMPANY, NATIONAL ASSOCIATION",METSO OYJ,FI0009007835,0.59,03/31/2017
UBS ASSET MANAGEMENT (UK) LTD,METSO OYJ,FI0009007835,1.79,03/30/2017
"BLACKROCK INSTITUTIONAL TRUST COMPANY, NATIONAL ASSOCIATION",METSO OYJ,FI0009007835,0.6,03/30/2017
"BLACKROCK INSTITUTIONAL TRUST COMPANY, NATIONAL ASSOCIATION",METSÄ BOARD OYJ,FI0009000665,0.98,03/30/2017
UBS ASSET MANAGEMENT (UK) LTD,OUTOTEC OYJ,FI0009014575,6.56,03/27/2017
MARSHALL WACE LLP,YIT OYJ,FI0009800643,1.41,03/27/2017
"WORLDQUANT, LLC",YIT OYJ,FI0009800643,0.8,03/27/2017
"BLACKROCK INSTITUTIONAL TRUST COMPANY, NATIONAL ASSOCIATION",METSO OYJ,FI0009007835,0.53,03/24/2017
OXFORD ASSET MANAGEMENT,YIT OYJ,FI0009800643,0.5,03/24/2017
"AQR CAPITAL MANAGEMENT, LLC",NOKIA OYJ,FI0009000681,1.0,03/24/2017
UBS ASSET MANAGEMENT (UK) LTD,METSO OYJ,FI0009007835,1.82,03/24/2017
EXANE ASSET MANAGEMENT,ELISA,FI0009007884,0.6,03/23/2017
RAM ACTIVE INVESTMENTS SA,YIT OYJ,FI0009800643,0.47,03/23/2017
CITADEL ADVISORS LLC,METSO OYJ,FI0009007835,0.9,03/23/2017
CITADEL ADVISORS II LLC,OUTOTEC OYJ,FI0009014575,0.55,03/23/2017
LINDEN ADVISORS LP,OUTOKUMPU OYJ,FI0009002422,1.97,03/22/2017
"TWO CREEKS CAPITAL MANAGEMENT, LP",UPM-KYMMENE OYJ,FI0009005987,0.69,03/22/2017
UBS ASSET MANAGEMENT (UK) LTD,OUTOTEC OYJ,FI0009014575,6.62,03/21/2017
RAM ACTIVE INVESTMENTS SA,YIT OYJ,FI0009800643,0.56,03/21/2017
MENTA CAPITAL LLC,OUTOTEC OYJ,FI0009014575,0.5,03/21/2017
CITADEL ADVISORS LLC,ELISA OYJ,FI0009007884,1.9,03/20/2017
MARSHALL WACE LLP,FORTUM OYJ,FI0009007132,0.49,03/20/2017
BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED,CAVERION OYJ,FI4000062781,0.69,03/20/2017
MILLENNIUM INTERNATIONAL MANAGEMENT LP,KONECRANES OYJ,FI0009005870,0.0,03/17/2017
UBS ASSET MANAGEMENT (UK) LTD,KONECRANES OYJ,FI0009005870,0.67,03/17/2017
JPMORGAN ASSET MANAGEMENT (UK) LTD,OUTOTEC OYJ,FI0009014575,1.0,03/17/2017
CITADEL EUROPE LLP,WÄRTSILÄ OYJ,FI0009003727,0.95,03/17/2017
"BLACKROCK INSTITUTIONAL TRUST COMPANY, NATIONAL ASSOCIATION",METSÄ BOARD OYJ,FI0009000665,1.0,03/16/2017
JPMORGAN ASSET MANAGEMENT (UK) LTD,OUTOTEC OYJ,FI0009014575,0.91,03/16/2017
CITADEL ADVISORS LLC,METSO OYJ,FI0009007835,0.88,03/16/2017
MACQUARIE FUNDS MANAGEMENT HONG KONG LIMITED,CAVERION OYJ,FI4000062781,0.69,03/16/2017
MILLENNIUM INTERNATIONAL MANAGEMENT LP,KONECRANES OYJ,FI0009005870,0.67,03/16/2017
MILLENNIUM INTERNATIONAL MANAGEMENT LP,KONECRANES OYJ,FI0009005870,0.58,03/15/2017
"WORLDQUANT, LLC",OUTOTEC OYJ,FI0009014575,0.62,03/15/2017
MARSHALL WACE LLP,OUTOTEC OYJ,FI0009014575,1.29,03/15/2017
SCOPIA CAPITAL MANAGEMENT LP,KONE OYJ,FI0009013403,0.72,03/15/2017
CARLSON CAPITAL UK LLP,METSO OYJ,FI0009007835,0.48,03/15/2017
"BLACKROCK INSTITUTIONAL TRUST COMPANY, NATIONAL ASSOCIATION",STORA ENSO OYJ,FI0009005961,0.48,03/14/2017
CITADEL EUROPE LLP,METSO OYJ,FI0009007835,2.15,03/13/2017
MARSHALL WACE LLP,OUTOTEC OYJ,FI0009014575,1.31,03/13/2017
"WORLDQUANT, LLC",YIT OYJ,FI0009800643,0.77,03/10/2017
ADAGE CAPITAL MANAGEMENT L.P.,NOKIAN RENKAAT OYJ,FI0009005318,0.62,03/08/2017
MACQUARIE FUNDS MANAGEMENT HONG KONG LIMITED,CAVERION OYJ,FI4000062781,0.7,03/07/2017
"BLACKROCK INSTITUTIONAL TRUST COMPANY, NATIONAL ASSOCIATION",STORA ENSO OYJ,FI0009005961,0.52,03/06/2017
MARSHALL WACE LLP,OUTOTEC OYJ,FI0009014575,1.21,03/06/2017
GMT CAPITAL CORP,NESTE OYJ,FI0009013296,0.9,03/06/2017
"BLACKROCK INSTITUTIONAL TRUST COMPANY, NATIONAL ASSOCIATION",METSÄ BOARD OYJ,FI0009000665,0.99,03/06/2017
EXANE ASSET MANAGEMENT,ELISA OYJ,FI0009007884,0.59,03/06/2017
CITADEL ADVISORS LLC,ELISA OYJ,FI0009007884,1.89,03/03/2017
"AQR CAPITAL MANAGEMENT, LLC",NOKIAN RENKAAT OYJ,FI0009005318,0.79,03/03/2017
HIGHBRIDGE CAPITAL MANAGEMENT LLC,NOKIAN RENKAAT OYJ,FI0009005318,0.68,03/02/2017
OXFORD ASSET MANAGEMENT,OUTOTEC OYJ,FI0009014575,0.7,03/02/2017
"WORLDQUANT, LLC",YIT OYJ,FI0009800643,0.8,03/01/2017
MARSHALL WACE ASIA LIMITED,YIT OYJ,FI0009800643,0.79,03/01/2017
CITADEL ADVISORS LLC,METSO OYJ,FI0009007835,0.9,03/01/2017
UBS ASSET MANAGEMENT (UK) LTD,OUTOTEC OYJ,FI0009014575,6.54,02/28/2017
UBS ASSET MANAGEMENT (UK) LTD,OUTOTEC OYJ,FI0009014575,6.42,02/27/2017
MARSHALL WACE LLP,OUTOTEC OYJ,FI0009014575,1.11,02/24/2017
HIGHBRIDGE CAPITAL MANAGEMENT LLC,NOKIAN RENKAAT OYJ,FI0009005318,0.71,02/24/2017
CITADEL EUROPE LLP,METSO OYJ,FI0009007835,2.21,02/24/2017
LINDEN ADVISORS LP,OUTOKUMPU OYJ,FI0009002422,1.95,02/24/2017
