Position Holder,LEI of Position Holder,Share Issuer,LEI of Share Issuer,ISIN,Net Short Position (%),Position Date
MACQUARIE BANK LIMITED,549300MPRNPO6FWNKN78,AGATOS S.P.A,8156002A614CA81E4056,IT0005421919,0.51,02/11/2022
MACQUARIE BANK LIMITED,549300MPRNPO6FWNKN78,AGATOS S.P.A,8156002A614CA81E4056,IT0005421919,0.0,03/11/2022
MACQUARIE BANK LIMITED,549300MPRNPO6FWNKN78,AGATOS S.P.A,8156002A614CA81E4056,IT0005421919,0.54,09/01/2023
MACQUARIE BANK LIMITED,549300MPRNPO6FWNKN78,AGATOS S.P.A,8156002A614CA81E4056,IT0005421919,0.15,10/01/2023
MACQUARIE BANK LIMITED,549300MPRNPO6FWNKN78,AGATOS S.P.A,8156002A614CA81E4056,IT0005421919,1.5,11/01/2023
MACQUARIE BANK LIMITED,549300MPRNPO6FWNKN78,AGATOS S.P.A,8156002A614CA81E4056,IT0005421919,2.12,12/01/2023
MACQUARIE BANK LIMITED,549300MPRNPO6FWNKN78,AGATOS S.P.A,8156002A614CA81E4056,IT0005421919,2.58,13/01/2023
MACQUARIE BANK LIMITED,549300MPRNPO6FWNKN78,AGATOS S.P.A,8156002A614CA81E4056,IT0005421919,0.0,16/01/2023
MACQUARIE BANK LIMITED,549300MPRNPO6FWNKN78,AGATOS S.P.A,8156002A614CA81E4056,IT0005421919,0.98,21/02/2023
MACQUARIE BANK LIMITED,549300MPRNPO6FWNKN78,AGATOS S.P.A,8156002A614CA81E4056,IT0005421919,0.0,22/02/2023
MACQUARIE BANK LIMITED,549300MPRNPO6FWNKN78,AGATOS S.P.A,8156002A614CA81E4056,IT0005421919,0.93,31/03/2023
MACQUARIE BANK LIMITED,549300MPRNPO6FWNKN78,AGATOS S.P.A,8156002A614CA81E4056,IT0005421919,1.4,03/04/2023
MACQUARIE BANK LIMITED,549300MPRNPO6FWNKN78,AGATOS S.P.A,8156002A614CA81E4056,IT0005421919,0.12,04/04/2023
MACQUARIE BANK LIMITED,549300MPRNPO6FWNKN78,AGATOS S.P.A,8156002A614CA81E4056,IT0005421919,0.92,12/04/2023
MACQUARIE BANK LIMITED,549300MPRNPO6FWNKN78,AGATOS S.P.A,8156002A614CA81E4056,IT0005421919,1.52,13/04/2023
MACQUARIE BANK LIMITED,549300MPRNPO6FWNKN78,AGATOS S.P.A,8156002A614CA81E4056,IT0005421919,0.0,14/04/2023
Citadel Advisors II LLC,,AGC BIOLOGICS SPA,815600342FDC0C3F6E10,IT0001080248,0.5,26/10/2016
Citadel Advisors II LLC,,AGC BIOLOGICS SPA,815600342FDC0C3F6E10,IT0001080248,0.63,27/10/2016
Citadel Advisors II LLC,,AGC BIOLOGICS SPA,815600342FDC0C3F6E10,IT0001080248,0.8,28/10/2016
Citadel Advisors II LLC,,AGC BIOLOGICS SPA,815600342FDC0C3F6E10,IT0001080248,0.99,31/10/2016
Citadel Advisors II LLC,,AGC BIOLOGICS SPA,815600342FDC0C3F6E10,IT0001080248,1.13,01/11/2016
Citadel Advisors II LLC,,AGC BIOLOGICS SPA,815600342FDC0C3F6E10,IT0001080248,1.0,02/11/2016
Citadel Advisors II LLC,,AGC BIOLOGICS SPA,815600342FDC0C3F6E10,IT0001080248,0.88,03/11/2016
Citadel Advisors II LLC,,AGC BIOLOGICS SPA,815600342FDC0C3F6E10,IT0001080248,0.74,04/11/2016
Citadel Advisors II LLC,,AGC BIOLOGICS SPA,815600342FDC0C3F6E10,IT0001080248,0.59,07/11/2016
Citadel Advisors II LLC,,AGC BIOLOGICS SPA,815600342FDC0C3F6E10,IT0001080248,0.49,10/11/2016
GSA Capital Partners LLP,213800CWAHHW6YYZII58,AGC BIOLOGICS SPA,815600342FDC0C3F6E10,IT0001080248,0.5,22/07/2013
GSA Capital Partners LLP,213800CWAHHW6YYZII58,AGC BIOLOGICS SPA,815600342FDC0C3F6E10,IT0001080248,0.61,26/07/2013
GSA Capital Partners LLP,213800CWAHHW6YYZII58,AGC BIOLOGICS SPA,815600342FDC0C3F6E10,IT0001080248,0.72,19/08/2013
GSA Capital Partners LLP,213800CWAHHW6YYZII58,AGC BIOLOGICS SPA,815600342FDC0C3F6E10,IT0001080248,0.8,02/09/2013
GSA Capital Partners LLP,213800CWAHHW6YYZII58,AGC BIOLOGICS SPA,815600342FDC0C3F6E10,IT0001080248,0.79,11/10/2013
GSA Capital Partners LLP,213800CWAHHW6YYZII58,AGC BIOLOGICS SPA,815600342FDC0C3F6E10,IT0001080248,0.69,12/11/2013
GSA Capital Partners LLP,213800CWAHHW6YYZII58,AGC BIOLOGICS SPA,815600342FDC0C3F6E10,IT0001080248,0.7,15/11/2013
GSA Capital Partners LLP,213800CWAHHW6YYZII58,AGC BIOLOGICS SPA,815600342FDC0C3F6E10,IT0001080248,0.68,18/11/2013
GSA Capital Partners LLP,213800CWAHHW6YYZII58,AGC BIOLOGICS SPA,815600342FDC0C3F6E10,IT0001080248,0.59,12/02/2014
GSA Capital Partners LLP,213800CWAHHW6YYZII58,AGC BIOLOGICS SPA,815600342FDC0C3F6E10,IT0001080248,0.45,28/03/2014
GSA Capital Partners LLP,213800CWAHHW6YYZII58,AGC BIOLOGICS SPA,815600342FDC0C3F6E10,IT0001080248,0.5,06/08/2014
GSA Capital Partners LLP,213800CWAHHW6YYZII58,AGC BIOLOGICS SPA,815600342FDC0C3F6E10,IT0001080248,0.61,28/08/2014
GSA Capital Partners LLP,213800CWAHHW6YYZII58,AGC BIOLOGICS SPA,815600342FDC0C3F6E10,IT0001080248,0.7,11/12/2014
GSA Capital Partners LLP,213800CWAHHW6YYZII58,AGC BIOLOGICS SPA,815600342FDC0C3F6E10,IT0001080248,0.6,12/03/2015
GSA Capital Partners LLP,213800CWAHHW6YYZII58,AGC BIOLOGICS SPA,815600342FDC0C3F6E10,IT0001080248,0.47,13/03/2015
GSA Capital Partners LLP,213800CWAHHW6YYZII58,AGC BIOLOGICS SPA,815600342FDC0C3F6E10,IT0001080248,0.5,22/07/2015
GSA Capital Partners LLP,213800CWAHHW6YYZII58,AGC BIOLOGICS SPA,815600342FDC0C3F6E10,IT0001080248,0.6,10/08/2015
GSA Capital Partners LLP,213800CWAHHW6YYZII58,AGC BIOLOGICS SPA,815600342FDC0C3F6E10,IT0001080248,0.7,10/09/2015
GSA Capital Partners LLP,213800CWAHHW6YYZII58,AGC BIOLOGICS SPA,815600342FDC0C3F6E10,IT0001080248,0.68,21/10/2015
GSA Capital Partners LLP,213800CWAHHW6YYZII58,AGC BIOLOGICS SPA,815600342FDC0C3F6E10,IT0001080248,0.59,03/11/2015
GSA Capital Partners LLP,213800CWAHHW6YYZII58,AGC BIOLOGICS SPA,815600342FDC0C3F6E10,IT0001080248,0.49,13/11/2015
Oxford Asset Management,,AGC BIOLOGICS SPA,815600342FDC0C3F6E10,IT0001080248,0.55,28/10/2016
Oxford Asset Management,,AGC BIOLOGICS SPA,815600342FDC0C3F6E10,IT0001080248,0.61,07/11/2016
Oxford Asset Management,,AGC BIOLOGICS SPA,815600342FDC0C3F6E10,IT0001080248,0.59,21/12/2016
Oxford Asset Management,,AGC BIOLOGICS SPA,815600342FDC0C3F6E10,IT0001080248,0.49,17/03/2017
Oxford Asset Management,,AGC BIOLOGICS SPA,815600342FDC0C3F6E10,IT0001080248,0.51,24/04/2017
Oxford Asset Management,,AGC BIOLOGICS SPA,815600342FDC0C3F6E10,IT0001080248,0.49,28/11/2017
Intermonte Sim S.p.a.,YMUU1WGHJKORF9E36I98,AGRONOMIA,8156003F032ADB520C20,IT0005012908,0.52,28/10/2015
Intermonte Sim S.p.a.,YMUU1WGHJKORF9E36I98,AGRONOMIA,8156003F032ADB520C20,IT0005012908,0.44,06/11/2015
Intermonte Sim S.p.a.,YMUU1WGHJKORF9E36I98,AGRONOMIA,8156003F032ADB520C20,IT0005012908,1.07,14/03/2016
Intermonte Sim S.p.a.,YMUU1WGHJKORF9E36I98,AGRONOMIA,8156003F032ADB520C20,IT0005012908,1.17,16/03/2016
Intermonte Sim S.p.a.,YMUU1WGHJKORF9E36I98,AGRONOMIA,8156003F032ADB520C20,IT0005012908,1.24,17/03/2016
Intermonte Sim S.p.a.,YMUU1WGHJKORF9E36I98,AGRONOMIA,8156003F032ADB520C20,IT0005012908,1.31,18/03/2016
Intermonte Sim S.p.a.,YMUU1WGHJKORF9E36I98,AGRONOMIA,8156003F032ADB520C20,IT0005012908,1.62,22/03/2016
Intermonte Sim S.p.a.,YMUU1WGHJKORF9E36I98,AGRONOMIA,8156003F032ADB520C20,IT0005012908,1.74,30/03/2016
Intermonte Sim S.p.a.,YMUU1WGHJKORF9E36I98,AGRONOMIA,8156003F032ADB520C20,IT0005012908,1.94,07/04/2016
Intermonte Sim S.p.a.,YMUU1WGHJKORF9E36I98,AGRONOMIA,8156003F032ADB520C20,IT0005012908,1.75,16/05/2016
Intermonte Sim S.p.a.,YMUU1WGHJKORF9E36I98,AGRONOMIA,8156003F032ADB520C20,IT0005012908,2.0,28/06/2016
Intermonte Sim S.p.a.,YMUU1WGHJKORF9E36I98,AGRONOMIA,8156003F032ADB520C20,IT0005012908,2.26,30/06/2016
Intermonte Sim S.p.a.,YMUU1WGHJKORF9E36I98,AGRONOMIA,8156003F032ADB520C20,IT0005012908,2.17,18/07/2016
Intermonte Sim S.p.a.,YMUU1WGHJKORF9E36I98,AGRONOMIA,8156003F032ADB520C20,IT0005012908,2.34,21/07/2016
Intermonte Sim S.p.a.,YMUU1WGHJKORF9E36I98,AGRONOMIA,8156003F032ADB520C20,IT0005012908,2.55,26/07/2016
Intermonte Sim S.p.a.,YMUU1WGHJKORF9E36I98,AGRONOMIA,8156003F032ADB520C20,IT0005012908,2.36,01/08/2016
Intermonte Sim S.p.a.,YMUU1WGHJKORF9E36I98,AGRONOMIA,8156003F032ADB520C20,IT0005012908,2.01,02/08/2016
Intermonte Sim S.p.a.,YMUU1WGHJKORF9E36I98,AGRONOMIA,8156003F032ADB520C20,IT0005012908,1.69,04/08/2016
Intermonte Sim S.p.a.,YMUU1WGHJKORF9E36I98,AGRONOMIA,8156003F032ADB520C20,IT0005012908,0.76,08/08/2016
Intermonte Sim S.p.a.,YMUU1WGHJKORF9E36I98,AGRONOMIA,8156003F032ADB520C20,IT0005012908,0.58,10/08/2016
Intermonte Sim S.p.a.,YMUU1WGHJKORF9E36I98,AGRONOMIA,8156003F032ADB520C20,IT0005012908,0.06,12/08/2016
Intermonte Sim S.p.a.,YMUU1WGHJKORF9E36I98,ALBA SPA,,IT0004222458,1.75,01/11/2012
Intermonte Sim S.p.a.,YMUU1WGHJKORF9E36I98,ALBA SPA,,IT0004222458,0.7,01/02/2013
Intermonte Sim S.p.a.,YMUU1WGHJKORF9E36I98,ALBA SPA,,IT0005025496,0.0,17/10/2014
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,AMPLIFON SPA,ZYXJDNVM2JI3VBM8G556,IT0004056880,0.51,05/08/2020
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,AMPLIFON SPA,ZYXJDNVM2JI3VBM8G556,IT0004056880,0.6,18/08/2020
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,AMPLIFON SPA,ZYXJDNVM2JI3VBM8G556,IT0004056880,0.7,25/09/2020
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,AMPLIFON SPA,ZYXJDNVM2JI3VBM8G556,IT0004056880,0.69,05/11/2020
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,AMPLIFON SPA,ZYXJDNVM2JI3VBM8G556,IT0004056880,0.58,13/11/2020
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,AMPLIFON SPA,ZYXJDNVM2JI3VBM8G556,IT0004056880,0.49,23/11/2020
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,AMPLIFON SPA,ZYXJDNVM2JI3VBM8G556,IT0004056880,0.5,28/04/2021
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,AMPLIFON SPA,ZYXJDNVM2JI3VBM8G556,IT0004056880,0.49,11/05/2021
Altair Investment Management Limited,635400BUD34GRHIXFT51,AMPLIFON SPA,ZYXJDNVM2JI3VBM8G556,IT0004056880,0.58,12/02/2014
Altair Investment Management Limited,635400BUD34GRHIXFT51,AMPLIFON SPA,ZYXJDNVM2JI3VBM8G556,IT0004056880,0.49,19/03/2014
"Arrowstreet Capital, Limited Partnership",LO3UDTZUG0RICVPFGQ53,AMPLIFON SPA,ZYXJDNVM2JI3VBM8G556,IT0004056880,0.5,24/03/2023
"Arrowstreet Capital, Limited Partnership",LO3UDTZUG0RICVPFGQ53,AMPLIFON SPA,ZYXJDNVM2JI3VBM8G556,IT0004056880,0.49,11/05/2023
"Arrowstreet Capital, Limited Partnership",LO3UDTZUG0RICVPFGQ53,AMPLIFON SPA,ZYXJDNVM2JI3VBM8G556,IT0004056880,0.5,10/08/2023
"Arrowstreet Capital, Limited Partnership",LO3UDTZUG0RICVPFGQ53,AMPLIFON SPA,ZYXJDNVM2JI3VBM8G556,IT0004056880,0.49,12/11/2024
"Arrowstreet Capital, Limited Partnership",LO3UDTZUG0RICVPFGQ53,AMPLIFON SPA,ZYXJDNVM2JI3VBM8G556,IT0004056880,0.51,22/11/2024
"Arrowstreet Capital, Limited Partnership",LO3UDTZUG0RICVPFGQ53,AMPLIFON SPA,ZYXJDNVM2JI3VBM8G556,IT0004056880,0.49,26/11/2024
"Arrowstreet Capital, Limited Partnership",LO3UDTZUG0RICVPFGQ53,AMPLIFON SPA,ZYXJDNVM2JI3VBM8G556,IT0004056880,0.51,20/12/2024
"Arrowstreet Capital, Limited Partnership",LO3UDTZUG0RICVPFGQ53,AMPLIFON SPA,ZYXJDNVM2JI3VBM8G556,IT0004056880,0.49,23/12/2024
BNP PARIBAS SA,R0MUWSFPU8MPRO8K5P83,AMPLIFON SPA,ZYXJDNVM2JI3VBM8G556,IT0004056880,0.56,10/02/2014
BNP PARIBAS SA,R0MUWSFPU8MPRO8K5P83,AMPLIFON SPA,ZYXJDNVM2JI3VBM8G556,IT0004056880,0.26,03/03/2014
BNP PARIBAS SA,R0MUWSFPU8MPRO8K5P83,AMPLIFON SPA,ZYXJDNVM2JI3VBM8G556,IT0004056880,0.51,27/06/2014
BNP PARIBAS SA,R0MUWSFPU8MPRO8K5P83,AMPLIFON SPA,ZYXJDNVM2JI3VBM8G556,IT0004056880,0.45,10/07/2014
BNP PARIBAS SA,R0MUWSFPU8MPRO8K5P83,AMPLIFON SPA,ZYXJDNVM2JI3VBM8G556,IT0004056880,0.51,18/08/2014
BNP PARIBAS SA,R0MUWSFPU8MPRO8K5P83,AMPLIFON SPA,ZYXJDNVM2JI3VBM8G556,IT0004056880,0.49,30/09/2014
BNP PARIBAS SA,R0MUWSFPU8MPRO8K5P83,AMPLIFON SPA,ZYXJDNVM2JI3VBM8G556,IT0004056880,0.54,19/11/2014
BNP PARIBAS SA,R0MUWSFPU8MPRO8K5P83,AMPLIFON SPA,ZYXJDNVM2JI3VBM8G556,IT0004056880,0.61,14/01/2015
BNP PARIBAS SA,R0MUWSFPU8MPRO8K5P83,AMPLIFON SPA,ZYXJDNVM2JI3VBM8G556,IT0004056880,0.59,26/01/2015
BNP PARIBAS SA,R0MUWSFPU8MPRO8K5P83,AMPLIFON SPA,ZYXJDNVM2JI3VBM8G556,IT0004056880,0.46,06/03/2015
BNP PARIBAS SA,R0MUWSFPU8MPRO8K5P83,AMPLIFON SPA,ZYXJDNVM2JI3VBM8G556,IT0004056880,0.54,18/03/2015
BNP PARIBAS SA,R0MUWSFPU8MPRO8K5P83,AMPLIFON SPA,ZYXJDNVM2JI3VBM8G556,IT0004056880,0.42,20/03/2015
BNP PARIBAS SA,R0MUWSFPU8MPRO8K5P83,AMPLIFON SPA,ZYXJDNVM2JI3VBM8G556,IT0004056880,0.6,23/07/2015
BNP PARIBAS SA,R0MUWSFPU8MPRO8K5P83,AMPLIFON SPA,ZYXJDNVM2JI3VBM8G556,IT0004056880,0.58,15/09/2015
BNP PARIBAS SA,R0MUWSFPU8MPRO8K5P83,AMPLIFON SPA,ZYXJDNVM2JI3VBM8G556,IT0004056880,0.43,21/09/2015
BNP PARIBAS SA,R0MUWSFPU8MPRO8K5P83,AMPLIFON SPA,ZYXJDNVM2JI3VBM8G556,IT0004056880,0.53,25/09/2015
BNP PARIBAS SA,R0MUWSFPU8MPRO8K5P83,AMPLIFON SPA,ZYXJDNVM2JI3VBM8G556,IT0004056880,0.49,12/10/2015
BNP PARIBAS SA,R0MUWSFPU8MPRO8K5P83,AMPLIFON SPA,ZYXJDNVM2JI3VBM8G556,IT0004056880,0.51,22/10/2015
BNP PARIBAS SA,R0MUWSFPU8MPRO8K5P83,AMPLIFON SPA,ZYXJDNVM2JI3VBM8G556,IT0004056880,0.48,27/10/2015
BNP PARIBAS SA,R0MUWSFPU8MPRO8K5P83,AMPLIFON SPA,ZYXJDNVM2JI3VBM8G556,IT0004056880,0.56,10/11/2015
BNP PARIBAS SA,R0MUWSFPU8MPRO8K5P83,AMPLIFON SPA,ZYXJDNVM2JI3VBM8G556,IT0004056880,0.62,21/01/2016
BNP PARIBAS SA,R0MUWSFPU8MPRO8K5P83,AMPLIFON SPA,ZYXJDNVM2JI3VBM8G556,IT0004056880,0.45,28/01/2016
BNP PARIBAS SA,R0MUWSFPU8MPRO8K5P83,AMPLIFON SPA,ZYXJDNVM2JI3VBM8G556,IT0004056880,0.57,30/05/2016
BNP PARIBAS SA,R0MUWSFPU8MPRO8K5P83,AMPLIFON SPA,ZYXJDNVM2JI3VBM8G556,IT0004056880,0.64,16/08/2016
BNP PARIBAS SA,R0MUWSFPU8MPRO8K5P83,AMPLIFON SPA,ZYXJDNVM2JI3VBM8G556,IT0004056880,0.73,27/10/2016
BNP PARIBAS SA,R0MUWSFPU8MPRO8K5P83,AMPLIFON SPA,ZYXJDNVM2JI3VBM8G556,IT0004056880,0.93,31/10/2016
BNP PARIBAS SA,R0MUWSFPU8MPRO8K5P83,AMPLIFON SPA,ZYXJDNVM2JI3VBM8G556,IT0004056880,1.43,09/11/2016
BNP PARIBAS SA,R0MUWSFPU8MPRO8K5P83,AMPLIFON SPA,ZYXJDNVM2JI3VBM8G556,IT0004056880,1.3,02/12/2016
BNP PARIBAS SA,R0MUWSFPU8MPRO8K5P83,AMPLIFON SPA,ZYXJDNVM2JI3VBM8G556,IT0004056880,1.27,21/12/2016
BNP PARIBAS SA,R0MUWSFPU8MPRO8K5P83,AMPLIFON SPA,ZYXJDNVM2JI3VBM8G556,IT0004056880,1.17,27/12/2016
BNP PARIBAS SA,R0MUWSFPU8MPRO8K5P83,AMPLIFON SPA,ZYXJDNVM2JI3VBM8G556,IT0004056880,0.81,03/01/2017
BNP PARIBAS SA,R0MUWSFPU8MPRO8K5P83,AMPLIFON SPA,ZYXJDNVM2JI3VBM8G556,IT0004056880,0.69,05/01/2017
BNP PARIBAS SA,R0MUWSFPU8MPRO8K5P83,AMPLIFON SPA,ZYXJDNVM2JI3VBM8G556,IT0004056880,0.46,11/01/2017
BNP PARIBAS SA,R0MUWSFPU8MPRO8K5P83,AMPLIFON SPA,ZYXJDNVM2JI3VBM8G556,IT0004056880,0.61,02/05/2017
BNP PARIBAS SA,R0MUWSFPU8MPRO8K5P83,AMPLIFON SPA,ZYXJDNVM2JI3VBM8G556,IT0004056880,0.0,18/05/2017
Balyasny Asset Management (UK) LLP,549300RYJEP013YME360,AMPLIFON SPA,ZYXJDNVM2JI3VBM8G556,IT0004056880,0.51,18/09/2024
Balyasny Asset Management (UK) LLP,549300RYJEP013YME360,AMPLIFON SPA,ZYXJDNVM2JI3VBM8G556,IT0004056880,0.68,20/09/2024
Balyasny Asset Management (UK) LLP,549300RYJEP013YME360,AMPLIFON SPA,ZYXJDNVM2JI3VBM8G556,IT0004056880,0.71,23/09/2024
Balyasny Asset Management (UK) LLP,549300RYJEP013YME360,AMPLIFON SPA,ZYXJDNVM2JI3VBM8G556,IT0004056880,0.66,01/10/2024
Balyasny Asset Management (UK) LLP,549300RYJEP013YME360,AMPLIFON SPA,ZYXJDNVM2JI3VBM8G556,IT0004056880,0.49,02/10/2024
Balyasny Asset Management (UK) LLP,549300RYJEP013YME360,AMPLIFON SPA,ZYXJDNVM2JI3VBM8G556,IT0004056880,0.53,03/10/2024
Balyasny Asset Management (UK) LLP,549300RYJEP013YME360,AMPLIFON SPA,ZYXJDNVM2JI3VBM8G556,IT0004056880,0.62,04/10/2024
Balyasny Asset Management (UK) LLP,549300RYJEP013YME360,AMPLIFON SPA,ZYXJDNVM2JI3VBM8G556,IT0004056880,0.52,08/10/2024
Balyasny Asset Management (UK) LLP,549300RYJEP013YME360,AMPLIFON SPA,ZYXJDNVM2JI3VBM8G556,IT0004056880,0.46,09/10/2024
CANADA PENSION PLAN INVESTMENT BOARD,70DNWEAINTGFO4DMV441,AMPLIFON SPA,ZYXJDNVM2JI3VBM8G556,IT0004056880,0.72,17/10/2019
CANADA PENSION PLAN INVESTMENT BOARD,70DNWEAINTGFO4DMV441,AMPLIFON SPA,ZYXJDNVM2JI3VBM8G556,IT0004056880,0.92,18/10/2019
CANADA PENSION PLAN INVESTMENT BOARD,70DNWEAINTGFO4DMV441,AMPLIFON SPA,ZYXJDNVM2JI3VBM8G556,IT0004056880,1.02,21/10/2019
CANADA PENSION PLAN INVESTMENT BOARD,70DNWEAINTGFO4DMV441,AMPLIFON SPA,ZYXJDNVM2JI3VBM8G556,IT0004056880,1.12,23/10/2019
CANADA PENSION PLAN INVESTMENT BOARD,70DNWEAINTGFO4DMV441,AMPLIFON SPA,ZYXJDNVM2JI3VBM8G556,IT0004056880,1.09,15/01/2020
CANADA PENSION PLAN INVESTMENT BOARD,70DNWEAINTGFO4DMV441,AMPLIFON SPA,ZYXJDNVM2JI3VBM8G556,IT0004056880,0.99,31/08/2020
CANADA PENSION PLAN INVESTMENT BOARD,70DNWEAINTGFO4DMV441,AMPLIFON SPA,ZYXJDNVM2JI3VBM8G556,IT0004056880,1.08,01/12/2020
CANADA PENSION PLAN INVESTMENT BOARD,70DNWEAINTGFO4DMV441,AMPLIFON SPA,ZYXJDNVM2JI3VBM8G556,IT0004056880,0.94,12/01/2021
CANADA PENSION PLAN INVESTMENT BOARD,70DNWEAINTGFO4DMV441,AMPLIFON SPA,ZYXJDNVM2JI3VBM8G556,IT0004056880,0.89,13/01/2021
CANADA PENSION PLAN INVESTMENT BOARD,70DNWEAINTGFO4DMV441,AMPLIFON SPA,ZYXJDNVM2JI3VBM8G556,IT0004056880,0.78,18/01/2021
CANADA PENSION PLAN INVESTMENT BOARD,70DNWEAINTGFO4DMV441,AMPLIFON SPA,ZYXJDNVM2JI3VBM8G556,IT0004056880,0.62,20/01/2021
CANADA PENSION PLAN INVESTMENT BOARD,70DNWEAINTGFO4DMV441,AMPLIFON SPA,ZYXJDNVM2JI3VBM8G556,IT0004056880,0.55,21/01/2021
CANADA PENSION PLAN INVESTMENT BOARD,70DNWEAINTGFO4DMV441,AMPLIFON SPA,ZYXJDNVM2JI3VBM8G556,IT0004056880,0.61,13/04/2021
CANADA PENSION PLAN INVESTMENT BOARD,70DNWEAINTGFO4DMV441,AMPLIFON SPA,ZYXJDNVM2JI3VBM8G556,IT0004056880,0.48,16/04/2021
CANADA PENSION PLAN INVESTMENT BOARD,70DNWEAINTGFO4DMV441,AMPLIFON SPA,ZYXJDNVM2JI3VBM8G556,IT0004056880,0.61,27/05/2021
CANADA PENSION PLAN INVESTMENT BOARD,70DNWEAINTGFO4DMV441,AMPLIFON SPA,ZYXJDNVM2JI3VBM8G556,IT0004056880,0.77,26/01/2022
CANADA PENSION PLAN INVESTMENT BOARD,70DNWEAINTGFO4DMV441,AMPLIFON SPA,ZYXJDNVM2JI3VBM8G556,IT0004056880,0.69,01/08/2022
CANADA PENSION PLAN INVESTMENT BOARD,70DNWEAINTGFO4DMV441,AMPLIFON SPA,ZYXJDNVM2JI3VBM8G556,IT0004056880,0.7,02/11/2022
CANADA PENSION PLAN INVESTMENT BOARD,70DNWEAINTGFO4DMV441,AMPLIFON SPA,ZYXJDNVM2JI3VBM8G556,IT0004056880,0.8,01/03/2023
CANADA PENSION PLAN INVESTMENT BOARD,70DNWEAINTGFO4DMV441,AMPLIFON SPA,ZYXJDNVM2JI3VBM8G556,IT0004056880,0.79,02/03/2023
CANADA PENSION PLAN INVESTMENT BOARD,70DNWEAINTGFO4DMV441,AMPLIFON SPA,ZYXJDNVM2JI3VBM8G556,IT0004056880,0.8,24/05/2023
CANADA PENSION PLAN INVESTMENT BOARD,70DNWEAINTGFO4DMV441,AMPLIFON SPA,ZYXJDNVM2JI3VBM8G556,IT0004056880,0.79,20/06/2023
CANADA PENSION PLAN INVESTMENT BOARD,70DNWEAINTGFO4DMV441,AMPLIFON SPA,ZYXJDNVM2JI3VBM8G556,IT0004056880,0.69,09/05/2024
CANADA PENSION PLAN INVESTMENT BOARD,70DNWEAINTGFO4DMV441,AMPLIFON SPA,ZYXJDNVM2JI3VBM8G556,IT0004056880,0.73,30/09/2024
CANADA PENSION PLAN INVESTMENT BOARD,70DNWEAINTGFO4DMV441,AMPLIFON SPA,ZYXJDNVM2JI3VBM8G556,IT0004056880,0.8,21/03/2025
CANADA PENSION PLAN INVESTMENT BOARD,70DNWEAINTGFO4DMV441,AMPLIFON SPA,ZYXJDNVM2JI3VBM8G556,IT0004056880,0.79,24/03/2025
CQS (UK) LLP,5493001Q61UH59LGPR09,AMPLIFON SPA,ZYXJDNVM2JI3VBM8G556,IT0004056880,0.55,20/03/2015
CQS (UK) LLP,5493001Q61UH59LGPR09,AMPLIFON SPA,ZYXJDNVM2JI3VBM8G556,IT0004056880,0.71,25/03/2015
CQS (UK) LLP,5493001Q61UH59LGPR09,AMPLIFON SPA,ZYXJDNVM2JI3VBM8G556,IT0004056880,0.8,30/03/2015
CQS (UK) LLP,5493001Q61UH59LGPR09,AMPLIFON SPA,ZYXJDNVM2JI3VBM8G556,IT0004056880,0.92,13/04/2015
CQS (UK) LLP,5493001Q61UH59LGPR09,AMPLIFON SPA,ZYXJDNVM2JI3VBM8G556,IT0004056880,1.0,14/04/2015
CQS (UK) LLP,5493001Q61UH59LGPR09,AMPLIFON SPA,ZYXJDNVM2JI3VBM8G556,IT0004056880,1.15,13/05/2015
CQS (UK) LLP,5493001Q61UH59LGPR09,AMPLIFON SPA,ZYXJDNVM2JI3VBM8G556,IT0004056880,1.23,14/05/2015
CQS (UK) LLP,5493001Q61UH59LGPR09,AMPLIFON SPA,ZYXJDNVM2JI3VBM8G556,IT0004056880,1.32,15/05/2015
CQS (UK) LLP,5493001Q61UH59LGPR09,AMPLIFON SPA,ZYXJDNVM2JI3VBM8G556,IT0004056880,1.43,20/05/2015
CQS (UK) LLP,5493001Q61UH59LGPR09,AMPLIFON SPA,ZYXJDNVM2JI3VBM8G556,IT0004056880,1.57,11/06/2015
CQS (UK) LLP,5493001Q61UH59LGPR09,AMPLIFON SPA,ZYXJDNVM2JI3VBM8G556,IT0004056880,1.65,15/06/2015
CQS (UK) LLP,5493001Q61UH59LGPR09,AMPLIFON SPA,ZYXJDNVM2JI3VBM8G556,IT0004056880,1.72,03/07/2015
CQS (UK) LLP,5493001Q61UH59LGPR09,AMPLIFON SPA,ZYXJDNVM2JI3VBM8G556,IT0004056880,1.81,24/07/2015
CQS (UK) LLP,5493001Q61UH59LGPR09,AMPLIFON SPA,ZYXJDNVM2JI3VBM8G556,IT0004056880,1.97,29/07/2015
CQS (UK) LLP,5493001Q61UH59LGPR09,AMPLIFON SPA,ZYXJDNVM2JI3VBM8G556,IT0004056880,2.09,02/09/2015
